  df = pd.read_sql(query, connection)
Epoch 91/200 | Train Loss: 0.3743 | Test Loss: 0.3668
Epoch 92/200 | Train Loss: 0.3725 | Test Loss: 0.3649
Epoch 93/200 | Train Loss: 0.3707 | Test Loss: 0.3630
Epoch 94/200 | Train Loss: 0.3690 | Test Loss: 0.3611
Epoch 95/200 | Train Loss: 0.3672 | Test Loss: 0.3592
Epoch 96/200 | Train Loss: 0.3655 | Test Loss: 0.3573
Epoch 97/200 | Train Loss: 0.3637 | Test Loss: 0.3554
Epoch 98/200 | Train Loss: 0.3620 | Test Loss: 0.3535
Epoch 99/200 | Train Loss: 0.3602 | Test Loss: 0.3517
Epoch 100/200 | Train Loss: 0.3585 | Test Loss: 0.3498
Epoch 101/200 | Train Loss: 0.3568 | Test Loss: 0.3480
Epoch 102/200 | Train Loss: 0.3551 | Test Loss: 0.3463
Epoch 103/200 | Train Loss: 0.3535 | Test Loss: 0.3446
Epoch 104/200 | Train Loss: 0.3519 | Test Loss: 0.3429
Epoch 105/200 | Train Loss: 0.3503 | Test Loss: 0.3413
Epoch 106/200 | Train Loss: 0.3488 | Test Loss: 0.3397
Epoch 107/200 | Train Loss: 0.3474 | Test Loss: 0.3382
Epoch 108/200 | Train Loss: 0.3459 | Test Loss: 0.3367
Epoch 109/200 | Train Loss: 0.3446 | Test Loss: 0.3353
Epoch 110/200 | Train Loss: 0.3432 | Test Loss: 0.3339
Epoch 111/200 | Train Loss: 0.3419 | Test Loss: 0.3326
Epoch 112/200 | Train Loss: 0.3406 | Test Loss: 0.3312
Epoch 113/200 | Train Loss: 0.3393 | Test Loss: 0.3299
Epoch 114/200 | Train Loss: 0.3381 | Test Loss: 0.3287
Epoch 115/200 | Train Loss: 0.3368 | Test Loss: 0.3274
Epoch 116/200 | Train Loss: 0.3356 | Test Loss: 0.3261
Epoch 117/200 | Train Loss: 0.3344 | Test Loss: 0.3249
Epoch 118/200 | Train Loss: 0.3332 | Test Loss: 0.3237
Epoch 119/200 | Train Loss: 0.3319 | Test Loss: 0.3225
Epoch 120/200 | Train Loss: 0.3307 | Test Loss: 0.3212
Epoch 121/200 | Train Loss: 0.3295 | Test Loss: 0.3200
Epoch 122/200 | Train Loss: 0.3283 | Test Loss: 0.3188
Epoch 123/200 | Train Loss: 0.3271 | Test Loss: 0.3176
Epoch 124/200 | Train Loss: 0.3259 | Test Loss: 0.3165
Epoch 125/200 | Train Loss: 0.3247 | Test Loss: 0.3153
Epoch 126/200 | Train Loss: 0.3235 | Test Loss: 0.3141
Epoch 127/200 | Train Loss: 0.3223 | Test Loss: 0.3130
Epoch 128/200 | Train Loss: 0.3211 | Test Loss: 0.3118
Epoch 129/200 | Train Loss: 0.3200 | Test Loss: 0.3107
Epoch 130/200 | Train Loss: 0.3188 | Test Loss: 0.3096
Epoch 131/200 | Train Loss: 0.3176 | Test Loss: 0.3085
Epoch 132/200 | Train Loss: 0.3165 | Test Loss: 0.3074
Epoch 133/200 | Train Loss: 0.3154 | Test Loss: 0.3063
Epoch 134/200 | Train Loss: 0.3142 | Test Loss: 0.3052
Epoch 135/200 | Train Loss: 0.3131 | Test Loss: 0.3041
Epoch 136/200 | Train Loss: 0.3120 | Test Loss: 0.3031
Epoch 137/200 | Train Loss: 0.3109 | Test Loss: 0.3020
Epoch 138/200 | Train Loss: 0.3098 | Test Loss: 0.3010
Epoch 139/200 | Train Loss: 0.3087 | Test Loss: 0.2999
Epoch 140/200 | Train Loss: 0.3076 | Test Loss: 0.2989
